Screen_id,Avg_Time
UccsDigitalOnlyTokenGui-Still,4257
GridBoxGUI,703
Gui[12],579
MatteGUI,290
RecListGUI,253
PVRBannerGui,229
MainMenuGUI,224
RadioStill,161
PinCodeGUI-Still,137
SignalQualityGUI-Still,78
BadServiceGUI-Still,72
InviteGUI-Still,61
InfoBoxGUI,41
AppGUI,35
PVRInstantRecGui,29
PvrWarningMsgGUI,28
UpdatePopupGUI,22
LaunchpadGUI,19
SetupGUI,12
HINWEISGUI,4
StandbyGUI,2
GSportsBarGUI,2
SetupStill,1
VolumeGUI,0
AlarmPopupGUI,0
ViewingGUI,0
