ID,Time,ScreenName,ActiveTime
0000,1515403729,PVRBannerGui,0
0000,1515403729,PVRInstantRecGui,0
0000,1515403729,RecListGUI,0
0000,1515403729,RadioStill,0
0000,1515403729,RadioStill,0
0000,1515403803,RadioStill,74
0000,1515403805,MatteGUI,2
0000,1515403805,BadServiceGUI-Still,0
0000,1515403805,HINWEISGUI,0
0000,1515403808,BadServiceGUI-Still,3
0000,1515403808,HINWEISGUI,0
0000,1515403809,UccsDigitalOnlyTokenGui-Still,1
0000,1515403809,BadServiceGUI-Still,0
0000,1515403815,GridBoxGUI,6
0000,1515403828,AppGUI,13
0000,1515403828,MatteGUI,0
0000,1515403828,BadServiceGUI-Still,0
0000,1515403828,HINWEISGUI,0
0000,1515403829,StandbyGUI,1
0000,1515403829,InfoBoxGUI,0
0000,1515403829,VolumeGUI,0
0000,1515403829,RadioStill,0
0000,1515403829,InviteGUI-Still,0
0000,1515403829,PVRBannerGui,0
0000,1515403829,PVRInstantRecGui,0
0000,1515403829,GridBoxGUI,0
0000,1515403829,MainMenuGUI,0
0000,1515403829,RecListGUI,0
0000,1515403829,RadioStill,0
0000,1515403830,BadServiceGUI-Still,1
0000,1515403831,SignalQualityGUI-Still,1
0000,1515403831,HINWEISGUI,0
0000,1515403832,HINWEISGUI,1
0000,1515403832,AppGUI,0
0000,1515403836,PinCodeGUI-Still,4
0000,1515403838,PinCodeGUI-Still,2
0000,1515403839,PVRBannerGui,1
0000,1515403842,RadioStill,3
0000,1515403853,BadServiceGUI-Still,11
0000,1515403853,SignalQualityGUI-Still,0
0000,1515403853,HINWEISGUI,0
0000,1515403853,BadServiceGUI-Still,0
0000,1515403859,BadServiceGUI-Still,6
0000,1515403863,SignalQualityGUI-Still,4
0000,1515403863,HINWEISGUI,0
0000,1515403864,BadServiceGUI-Still,1
0000,1515403864,SignalQualityGUI-Still,0
0000,1515403864,HINWEISGUI,0
0000,1515403867,PinCodeGUI-Still,3
0000,1515403868,PVRBannerGui,1
0000,1515403879,SignalQualityGUI-Still,11
0000,1515403879,HINWEISGUI,0
0000,1515403889,SignalQualityGUI-Still,10
0000,1515403890,HINWEISGUI,1
0000,1515403930,PinCodeGUI-Still,40
0000,1515403937,PVRBannerGui,7
0000,1515404083,GridBoxGUI,146
0000,1515404179,MainMenuGUI,96
0000,1515404192,SignalQualityGUI-Still,13
0000,1515404192,SignalQualityGUI-Still,0
0000,1515404192,HINWEISGUI,0
0000,1515404192,MatteGUI,0
0000,1515404192,BadServiceGUI-Still,0
0000,1515404192,BadServiceGUI-Still,0
0000,1515404192,SignalQualityGUI-Still,0
0000,1515404192,HINWEISGUI,0
0000,1515404192,HINWEISGUI,0
0000,1515404192,HINWEISGUI,0
0000,1515404194,LaunchpadGUI,2
0000,1515403699,AlarmPopupGUI,0
0000,1515403700,InfoBoxGUI,1
0000,1515403700,ViewingGUI,0
0000,1515403700,GridBoxGUI,0
0000,1515403700,MainMenuGUI,0
0000,1515403700,PVRBannerGui,0
0000,1515403700,PVRInstantRecGui,0
0000,1515403700,RecListGUI,0
0000,1515403700,StandbyGUI,0
0000,1515403711,UpdatePopupGUI,11
0000,1515403729,InfoBoxGUI,18
0000,1515403729,ViewingGUI,0
0000,1515403729,SetupGUI,0
0000,1515403729,StandbyGUI,0
0000,1515403729,GridBoxGUI,0
0000,1515403729,MainMenuGUI,0
0000,1515403729,PVRBannerGui,0
0000,1515403729,PVRInstantRecGui,0
0000,1515403729,RecListGUI,0
0000,1515403729,RadioStill,0
0000,1515403729,RadioStill,0
0000,1515403803,RadioStill,74
0000,1515403805,MatteGUI,2
0000,1515403805,BadServiceGUI-Still,0
0000,1515403805,HINWEISGUI,0
0000,1515403808,BadServiceGUI-Still,3
0000,1515403808,HINWEISGUI,0
0000,1515403809,UccsDigitalOnlyTokenGui-Still,1
0000,1515403809,BadServiceGUI-Still,0
0000,1515403815,GridBoxGUI,6
0000,1515403828,AppGUI,13
0000,1515403828,MatteGUI,0
0000,1515403828,BadServiceGUI-Still,0
0000,1515403828,HINWEISGUI,0
0000,1515403829,StandbyGUI,1
0000,1515403829,InfoBoxGUI,0
0000,1515403829,VolumeGUI,0
0000,1515403829,RadioStill,0
0000,1515403829,InviteGUI-Still,0
0000,1515403829,PVRBannerGui,0
0000,1515403829,PVRInstantRecGui,0
